id,name,note,pid,pname,basicDifficulty,isLeaf
01,eSkill,耳朵基础感知精度,,,,false
0101,single,单音,01,eSkill,,false
0102,interval,音程,01,eSkill,,false
0103,chord,和弦,01,eSkill,,false
0104,scale,音阶,01,eSkill,,false
0105,tonality,调性,01,eSkill,,false
0106,melody,旋律,01,eSkill,,false
0107,phrase,乐句,01,eSkill,,false
0108,harmonicFlow,和声进行,01,eSkill,,false
010101,C1,第一个八度 do,0101,single,,true
010102,C#1,第一个八度 升do,0101,single,,true
010103,D1,第一个八度 re,0101,single,,true
010104,D#1,第一个八度 升re,0101,single,,true
010105,E1,第一个八度 mi,0101,single,,true
010106,F1,第一个八度 fa,0101,single,,true
010107,F#1,第一个八度 升fa,0101,single,,true
010108,G1,第一个八度 sol,0101,single,,true
010109,G#1,第一个八度 升sol,0101,single,,true
010110,A1,第一个八度 la,0101,single,,true
010111,A#1,第一个八度 升la,0101,single,,true
010112,B1,第一个八度 si,0101,single,,true
010113,C2,第二个八度 do,0101,single,,true
010114,C#2,第二个八度 升do,0101,single,,true
010115,D2,第二个八度 re,0101,single,,true
010116,D#2,第二个八度 升re,0101,single,,true
010117,E2,第二个八度 mi,0101,single,,true
010118,F2,第二个八度 fa,0101,single,,true
010119,F#2,第二个八度 升fa,0101,single,,true
010120,G2,第二个八度 sol,0101,single,,true
010121,G#2,第二个八度 升sol,0101,single,,true
010122,A2,第二个八度 la,0101,single,,true
010123,A#2,第二个八度 升la,0101,single,,true
010124,B2,第二个八度 si,0101,single,,true
010125,C3,第三个八度 do,0101,single,,true
010126,C#3,第三个八度 升do,0101,single,,true
010127,D3,第三个八度 re,0101,single,,true
010128,D#3,第三个八度 升re,0101,single,,true
010129,E3,第三个八度 mi,0101,single,,true
010130,F3,第三个八度 fa,0101,single,,true
010131,F#3,第三个八度 升fa,0101,single,,true
010132,G3,第三个八度 sol,0101,single,,true
010133,G#3,第三个八度 升sol,0101,single,,true
010134,A3,第三个八度 la,0101,single,,true
010135,A#3,第三个八度 升la,0101,single,,true
010136,B3,第三个八度 si,0101,single,,true
010137,C4,第四个八度 do（中央C）,0101,single,,true
010138,C#4,第四个八度 升do,0101,single,,true
010139,D4,第四个八度 re,0101,single,,true
010140,D#4,第四个八度 升re,0101,single,,true
010141,E4,第四个八度 mi,0101,single,,true
010142,F4,第四个八度 fa,0101,single,,true
010143,F#4,第四个八度 升fa,0101,single,,true
010144,G4,第四个八度 sol,0101,single,,true
010145,G#4,第四个八度 升sol,0101,single,,true
010146,A4,第四个八度 la（标准音）,0101,single,,true
010147,A#4,第四个八度 升la,0101,single,,true
010148,B4,第四个八度 si,0101,single,,true
010149,C5,第五个八度 do,0101,single,,true
010150,C#5,第五个八度 升do,0101,single,,true
010151,D5,第五个八度 re,0101,single,,true
010152,D#5,第五个八度 升re,0101,single,,true
010153,E5,第五个八度 mi,0101,single,,true
010154,F5,第五个八度 fa,0101,single,,true
010155,F#5,第五个八度 升fa,0101,single,,true
010156,G5,第五个八度 sol,0101,single,,true
010157,G#5,第五个八度 升sol,0101,single,,true
010158,A5,第五个八度 la,0101,single,,true
010159,A#5,第五个八度 升la,0101,single,,true
010160,B5,第五个八度 si,0101,single,,true
010161,C6,第六个八度 do,0101,single,,true
010162,C#6,第六个八度 升do,0101,single,,true
010163,D6,第六个八度 re,0101,single,,true
010164,D#6,第六个八度 升re,0101,single,,true
010165,E6,第六个八度 mi,0101,single,,true
010166,F6,第六个八度 fa,0101,single,,true
010167,F#6,第六个八度 升fa,0101,single,,true
010168,G6,第六个八度 sol,0101,single,,true
010169,G#6,第六个八度 升sol,0101,single,,true
010170,A6,第六个八度 la,0101,single,,true
010171,A#6,第六个八度 升la,0101,single,,true
010172,B6,第六个八度 si,0101,single,,true
010173,C7,第七个八度 do,0101,single,,true
010174,C#7,第七个八度 升do,0101,single,,true
010175,D7,第七个八度 re,0101,single,,true
010176,D#7,第七个八度 升re,0101,single,,true
010177,E7,第七个八度 mi,0101,single,,true
010178,F7,第七个八度 fa,0101,single,,true
010179,F#7,第七个八度 升fa,0101,single,,true
010180,G7,第七个八度 sol,0101,single,,true
010181,G#7,第七个八度 升sol,0101,single,,true
010182,A7,第七个八度 la,0101,single,,true
010183,A#7,第七个八度 升la,0101,single,,true
010184,B7,第七个八度 si,0101,single,,true
010201,i_unison,一度,0102,interval,2,true
010202,i_min2,小二度,0102,interval,4,true
010203,i_maj2,大二度,0102,interval,4,true
010204,i_min3,小三度,0102,interval,3,true
010205,i_maj3,大三度,0102,interval,3,true
010206,i_per4,纯四度,0102,interval,2,true
010207,i_dim5,减五度,0102,interval,7,true
010208,i_per5,纯五度,0102,interval,2,true
010209,i_min6,小六度,0102,interval,5,true
010210,i_maj6,大六度,0102,interval,5,true
010211,i_min7,小七度,0102,interval,6,true
010212,i_maj7,大七度,0102,interval,6,true
010213,i_octave,八度,0102,interval,1,true
010214,i_min9,小九度,0102,interval,7,true
010215,i_maj9,大九度,0102,interval,7,true
010216,i_min10,小十度,0102,interval,7,true
010217,i_maj10,大十度,0102,interval,7,true
010218,i_per11,纯十一度,0102,interval,8,true
010219,i_dim12,减十二度,0102,interval,8,true
010220,i_per12,纯十二度,0102,interval,8,true
010221,i_min13,小十三度,0102,interval,9,true
010222,i_maj13,大十三度,0102,interval,9,true
010223,i_min14,小十四度,0102,interval,9,true
010224,i_maj14,大十四度,0102,interval,9,true
010225,i_doubleOctave,十五度（双八度）,0102,interval,10,true